id_resena,banco,canal,fecha,calificacion,comentario,tema_sintetico
1,Interbank,Banca en Linea,2026-05-04,1,Llevo dias intentando entrar a la app y siempre marca error.,tecnologia
2,Banorte,App Movil,2026-06-29,4,"Todo fue muy rapido, en minutos ya tenia mi tarjeta activada.",tiempos
3,BBVA,Banca en Linea,2026-04-04,5,"Aprobaron mi solicitud en menos de un dia, excelente tiempo de respuesta.",tiempos
4,Interbank,Chat / Call Center,2025-09-16,1,"El tramite de mi tarjeta demoro casi un mes, una demora inaceptable.",tiempos
5,Banorte,Banca en Linea,2026-02-22,1,"Pesima actualizacion, ahora la aplicacion es mas lenta que antes.",tecnologia
6,Santander,Chat / Call Center,2026-05-26,5,"No cobran comision por transferencias, muy conveniente usar Santander.",costos
7,BBVA,App Movil,2025-11-21,2,"El tramite de mi tarjeta demoro casi un mes, una demora inaceptable.",tiempos
8,Banco de Chile,Chat / Call Center,2025-09-01,5,Me siento muy segura con la autenticacion de dos pasos de Banco de Chile.,seguridad
9,Interbank,Banca en Linea,2026-06-04,1,La app de Interbank se cae constantemente y no puedo revisar mi saldo.,tecnologia
10,Scotiabank,Banca en Linea,2026-01-09,2,Me bloquearon la cuenta sin explicacion y fue una pesadilla recuperarla.,seguridad
11,Santander,Banca en Linea,2025-08-23,5,"El servicio al cliente de Santander superó mis expectativas, muy atentos.",atencion
12,Scotiabank,Banca en Linea,2026-02-26,3,"La atencion fue normal, ni buena ni mala, resolvieron mi caso.",atencion
13,BBVA,Chat / Call Center,2026-06-28,1,Me tuvieron horas en espera y al final no solucionaron nada.,atencion
14,Nubank,App Movil,2025-08-13,3,La app de Nubank funciona bien pero podria mejorar el diseno.,tecnologia
15,Banco de Chile,Banca en Linea,2026-03-10,4,Me siento muy segura con la autenticacion de dos pasos de Banco de Chile.,seguridad
16,Banorte,Chat / Call Center,2025-12-22,2,"Subieron la comision de mantenimiento sin avisarme, muy molesto.",costos
17,Santander,Banca en Linea,2026-05-19,4,"Muy buena atencion en la sucursal, todo el personal fue amable.",atencion
18,Santander,App Movil,2025-12-31,1,"Tengo miedo de usar la app de Santander, no confio en su seguridad.",seguridad
19,BBVA,Banca en Linea,2026-05-17,2,"El tramite de mi tarjeta demoro casi un mes, una demora inaceptable.",tiempos
20,Nubank,App Movil,2026-02-14,1,"Subieron la comision de mantenimiento sin avisarme, muy molesto.",costos
21,BCP,Banca en Linea,2026-05-21,5,"Me encanta el nuevo diseno de la app, es intuitivo y no se traba.",tecnologia
22,Interbank,Banca en Linea,2026-01-04,4,"Aprobaron mi solicitud en menos de un dia, excelente tiempo de respuesta.",tiempos
23,Nubank,App Movil,2026-07-05,3,La aplicacion esta bien pero a veces tarda un poco en cargar.,tecnologia
24,BBVA,App Movil,2025-09-27,1,"Me cobraron una comision que nadie me explico, pesimo servicio.",costos
25,BCP,App Movil,2025-08-11,4,Me siento muy segura con la autenticacion de dos pasos de BCP.,seguridad
